dataset_id,dataset,file_id,file_size,creation_date,last_modification_date,logical_file_name,status,err_trace
14927230,/ZeroBias/Run2024A-PromptReco-v1/DQMIO,13770979997,25105071,2024-03-21 10:52:28+00:00,2024-03-21 10:52:28+00:00,/store/data/Run2024A/ZeroBias/DQMIO/PromptReco-v1/000/378/144/00000/F6A65CA8-F2D1-489A-8187-4FBC198E10D0.root,FINISHED,
14927230,/ZeroBias/Run2024A-PromptReco-v1/DQMIO,13822664277,136518352,2024-03-22 05:20:04+00:00,2024-03-22 05:20:04+00:00,/store/data/Run2024A/ZeroBias/DQMIO/PromptReco-v1/000/378/146/00000/31274985-D58E-4BB8-AF92-E44E2EF55B91.root,FINISHED,
14927230,/ZeroBias/Run2024A-PromptReco-v1/DQMIO,13854945877,298774004,2024-03-23 21:05:31+00:00,2024-03-23 21:05:31+00:00,/store/data/Run2024A/ZeroBias/DQMIO/PromptReco-v1/000/378/238/00000/D869FBBC-7DDD-4B76-821E-1F6DC585B059.root,FINISHED,
14927230,/ZeroBias/Run2024A-PromptReco-v1/DQMIO,13854945917,142308376,2024-03-23 21:05:31+00:00,2024-03-23 21:05:31+00:00,/store/data/Run2024A/ZeroBias/DQMIO/PromptReco-v1/000/378/238/00000/EDC45609-F6D4-4056-BF16-E0AECA446BBF.root,FINISHED,
14927230,/ZeroBias/Run2024A-PromptReco-v1/DQMIO,13856188037,310099159,2024-03-24 17:01:02+00:00,2024-03-24 17:01:02+00:00,/store/data/Run2024A/ZeroBias/DQMIO/PromptReco-v1/000/378/239/00000/70187675-C836-4CC0-8443-51222A5DFE7B.root,FINISHED,
14927230,/ZeroBias/Run2024A-PromptReco-v1/DQMIO,13856188077,264508611,2024-03-24 17:01:02+00:00,2024-03-24 17:01:02+00:00,/store/data/Run2024A/ZeroBias/DQMIO/PromptReco-v1/000/378/239/00000/08586E73-7F12-4FEC-995D-A12CBDD060B6.root,FINISHED,
14927230,/ZeroBias/Run2024A-PromptReco-v1/DQMIO,13856188117,243298184,2024-03-24 17:01:02+00:00,2024-03-24 17:01:02+00:00,/store/data/Run2024A/ZeroBias/DQMIO/PromptReco-v1/000/378/239/00000/F0F6BC29-9F40-4847-8CA6-E364104421D2.root,FINISHED,
14927230,/ZeroBias/Run2024A-PromptReco-v1/DQMIO,13856188157,84590040,2024-03-24 17:01:02+00:00,2024-03-24 17:01:02+00:00,/store/data/Run2024A/ZeroBias/DQMIO/PromptReco-v1/000/378/239/00000/4EF5B5E2-F06D-46DE-B4F1-0781F919AFCF.root,FINISHED,
14927230,/ZeroBias/Run2024A-PromptReco-v1/DQMIO,13875833917,29210598,2024-03-31 13:39:18+00:00,2024-03-31 13:39:18+00:00,/store/data/Run2024A/ZeroBias/DQMIO/PromptReco-v1/000/378/654/00000/0F63B886-87B1-4583-9AFE-334667945FE0.root,FINISHED,
14927230,/ZeroBias/Run2024A-PromptReco-v1/DQMIO,13911926157,15778581,2024-04-01 19:03:12+00:00,2024-04-01 19:03:12+00:00,/store/data/Run2024A/ZeroBias/DQMIO/PromptReco-v1/000/378/698/00000/63A0EADF-DEA7-41FB-8657-C66C7EAA6301.root,FINISHED,
