run_number,dataset_id,dataset,file_id,file_size,creation_date,last_modification_date,logical_file_name,status,err_trace
383067,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16870151637,981512899,2024-07-14 10:36:50+00:00,2024-07-14 10:36:50+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/383/067/00000/B0FA44DD-0B94-434B-ADDC-FAC281B5BAAB.root,FINISHED,
383067,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16871126997,353625170,2024-07-14 13:20:59+00:00,2024-07-14 13:20:59+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/383/067/00000/F3E5945E-817F-4F02-AC7C-B05D882E423D.root,FINISHED,
382511,14986300,/ZeroBias/Run2024F-PromptReco-v1/DQMIO,16339152997,939048235,2024-07-01 00:20:16+00:00,2024-07-01 00:20:16+00:00,/store/data/Run2024F/ZeroBias/DQMIO/PromptReco-v1/000/382/511/00000/2D87938A-880A-417E-9163-852A9FD41872.root,FINISHED,
384069,15042470,/ZeroBias/Run2024G-PromptReco-v1/DQMIO,17237452437,621348907,2024-08-09 22:42:38+00:00,2024-08-09 22:42:38+00:00,/store/data/Run2024G/ZeroBias/DQMIO/PromptReco-v1/000/384/069/00000/45CC7541-286D-44C3-A0D5-4C9E0AF85C37.root,FINISHED,
384069,15042470,/ZeroBias/Run2024G-PromptReco-v1/DQMIO,17237452677,326000139,2024-08-09 22:42:38+00:00,2024-08-09 22:42:38+00:00,/store/data/Run2024G/ZeroBias/DQMIO/PromptReco-v1/000/384/069/00000/05236AEC-9C2E-4BA4-ACDC-4954B1E57C1A.root,FINISHED,
384069,15042470,/ZeroBias/Run2024G-PromptReco-v1/DQMIO,17237452397,578514230,2024-08-09 22:42:38+00:00,2024-08-09 22:42:38+00:00,/store/data/Run2024G/ZeroBias/DQMIO/PromptReco-v1/000/384/069/00000/FDEC0730-8FCB-4BBA-ABED-203A23E41727.root,FINISHED,
384069,15042470,/ZeroBias/Run2024G-PromptReco-v1/DQMIO,17237452477,640999254,2024-08-09 22:42:38+00:00,2024-08-09 22:42:38+00:00,/store/data/Run2024G/ZeroBias/DQMIO/PromptReco-v1/000/384/069/00000/34F024F8-01D1-4291-AEAB-A3328030ADAF.root,FINISHED,
384069,15042470,/ZeroBias/Run2024G-PromptReco-v1/DQMIO,17237452637,593060626,2024-08-09 22:42:38+00:00,2024-08-09 22:42:38+00:00,/store/data/Run2024G/ZeroBias/DQMIO/PromptReco-v1/000/384/069/00000/6E727166-1C5B-4432-9D6A-DF7E8FE6E276.root,FINISHED,
384069,15042470,/ZeroBias/Run2024G-PromptReco-v1/DQMIO,17237452517,640224977,2024-08-09 22:42:38+00:00,2024-08-09 22:42:38+00:00,/store/data/Run2024G/ZeroBias/DQMIO/PromptReco-v1/000/384/069/00000/39407D74-9E0B-497F-B92A-13379A776C8E.root,FINISHED,
384069,15042470,/ZeroBias/Run2024G-PromptReco-v1/DQMIO,17237452557,649822193,2024-08-09 22:42:38+00:00,2024-08-09 22:42:38+00:00,/store/data/Run2024G/ZeroBias/DQMIO/PromptReco-v1/000/384/069/00000/C0E63285-6A26-460B-BE01-788AEC2DFC39.root,FINISHED,
